@relation 6+6-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement

@attribute status {canceled,order_refunded,complete,received,refund,Visa}
@attribute qty_ordered numeric
@attribute price numeric
@attribute value numeric
@attribute discount_amount numeric
@attribute total numeric
@attribute category {'Mobiles And Tablets',Computing,Appliances,'Men s Fashion','Home And Living','Women s Fashion',Entertainment,'Kids And Baby',Soghaat,'Health And Sports','Beauty And Grooming',Others,Superstore}
@attribute year numeric
@attribute month {20-Oct,20-Nov,20-Dec,21-Feb,21-Jun,21-Sep,21-Apr,21-Mar,21-Jul,21-Aug,21-Jan,21-May}
@attribute 'Name Prefix' {Prof.,Hon.,Ms.,Dr.,Mr.,Drs.,Mrs.}
@attribute Gender {M,F}
@attribute age numeric
@attribute full_name {'Eaker, Lee','Bayless, Grover','Bensen, Albertina','Galle, Drema','Dewald, Bernard','Raminez, Elizbeth','Blount, Lenny','Criss, Harrison','Henrich, Wallace','Grantham, Heidy','Barnaby, Buster','Wetherby, Dorene','Fabiano, Dreama','Puls, Sherron','Croom, Marge','Mayo, Lauran','Roach, Skye','Nicastro, Emile','Kenney, Pamella','Flanigan, Yong','Titus, Jani','Simoneau, Jason','Newsome, Sheryll','Brammer, Hilario','Dinapoli, Robbie','Murguia, Rachell','Waymire, Abe','Hopps, Romeo','Stough, Florentino','Coutee, Micah','Heyer, Darrin','Crawley, Antione','Fout, Lauren','Vuong, Gigi','Pugh, Ward','Colombo, Marvin','Olin, Hector','Cyphers, Horacio','Gendron, Daniell','Gass, Leon','Landaverde, Gavin','Vigue, Kelvin','Mattia, Arturo'}
@attribute 'Place Name' {Vinson,Graham,'Grand Forks',Laupahoehoe,Glendo,Farmington,Nashville,Warwick,Sarasota,Brownstown,'Mill Springs',Brighton,Phoenix,'Fort Smith',Drew,Snyder,Riverton,Huntington,Benton,'El Monte','Saint Louis',Linton,'Lake Charles',Newton,Baytown,'Ottawa Lake','San Francisco',Waltersburg,'Clifton Forge',Odin,Wisdom,Ogunquit,Ducor,'New Orleans',Bernalillo,'Des Moines',Gulliver,Utica,'Clarks Grove','East Texas',Inman,Voltaire,Brasstown}
@attribute County {Harmon,Bradford,'Grand Forks',Hawaii,Platte,Oconee,Davidson,Kent,Sarasota,Fayette,Wayne,Jersey,Maricopa,Sebastian,Sunflower,Dodge,Burlington,Cabell,Benton,'Los Angeles','St. Louis (city)',Emmons,Calcasieu,Newton,Harris,Monroe,'San Francisco','Clifton Forge',Watonwan,Beaverhead,York,Tulare,Orleans,Sandoval,Polk,Schoolcraft,Licking,Freeborn,Lehigh,Spartanburg,McHenry,Clay}
@attribute City {Vinson,Graham,'Grand Forks',Laupahoehoe,Glendo,Farmington,Nashville,Warwick,Sarasota,Brownstown,'Mill Springs',Brighton,Phoenix,'Fort Smith',Drew,Snyder,Riverton,Huntington,Benton,'El Monte','Saint Louis',Linton,'Lake Charles',Newton,Baytown,'Ottawa Lake','San Francisco',Waltersburg,'Clifton Forge',Odin,Wisdom,Ogunquit,Ducor,'New Orleans',Bernalillo,'Des Moines',Gulliver,Utica,'Clarks Grove','East Texas',Inman,Voltaire,Brasstown}
@attribute State {OK,FL,ND,HI,WY,GA,TN,RI,IL,KY,AZ,AR,MS,NE,NJ,WV,CA,MO,LA,TX,MI,PA,VA,MN,MT,ME,NM,IA,OH,SC,NC}
@attribute Zip numeric
@attribute Region {South,Midwest,West,Northeast}
@attribute Discount_Percent numeric
@attribute payment_method {Paypal,Visa}

@data
canceled,2,1896,1896,0,1896,Entertainment,2020,20-Oct,Hon.,F,67,'Vuong, Gigi','New Orleans',Orleans,'New Orleans',LA,70128,South,0,Visa
received,3,23.8,47.6,0,47.6,'Men s Fashion',2021,21-Feb,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
complete,1,161.5,0,0,0,'Mobiles And Tablets',2021,21-Feb,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Visa
received,2,26,26,0,26,'Beauty And Grooming',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Baytown,Harris,Baytown,TX,77522,South,0,Paypal
canceled,2,1690,1690,0,1690,'Mobiles And Tablets',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
canceled,1,5189.5,0,0,0,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
canceled,2,1499.9,1499.9,0,1499.9,'Mobiles And Tablets',2020,20-Oct,Hon.,F,75,'Puls, Sherron','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Visa
refund,2,76,76,0,76,'Men s Fashion',2021,21-May,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,16.01281,Visa
complete,2,38.2,38.2,0,38.2,'Health And Sports',2020,20-Nov,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
order_refunded,2,499.9,499.9,0,499.9,'Mobiles And Tablets',2021,21-Feb,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
canceled,3,15,30,0,30,Soghaat,2021,21-Feb,Drs.,F,45,'Grantham, Heidy',Phoenix,Maricopa,Phoenix,AZ,85015,West,10,Paypal
canceled,2,259.9,259.9,0,259.9,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth',Laupahoehoe,Hawaii,Laupahoehoe,HI,96764,West,0,Paypal
canceled,2,325,325,0,325,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth',Glendo,Platte,Glendo,WY,82213,West,0,Paypal
received,2,299,299,0,299,'Women s Fashion',2020,20-Oct,Mr.,M,60,'Heyer, Darrin',Wisdom,Beaverhead,Wisdom,MT,59761,West,10,Paypal
received,2,599.9,599.9,0,599.9,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Paypal
canceled,11,87,870,0,870,Appliances,2021,21-Sep,Ms.,F,54,'Roach, Skye',Drew,Sunflower,Drew,MS,38737,South,10,Visa
canceled,2,1499.8,1499.8,0,1499.8,Computing,2020,20-Dec,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,13.452366,Visa
canceled,2,8177,8177,1100,7077,'Mobiles And Tablets',2020,20-Dec,Mr.,M,52,'Nicastro, Emile',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
received,2,439.9,439.9,0,439.9,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Paypal
order_refunded,3,476.3,952.6,0,952.6,Appliances,2020,20-Oct,Mrs.,F,59,'Fabiano, Dreama',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Paypal
received,2,24.9,24.9,0,24.9,'Men s Fashion',2021,21-Jul,Ms.,F,38,'Mayo, Lauran','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
canceled,2,300,300,0,300,Others,2020,20-Nov,Mr.,M,64,'Blount, Lenny',Drew,Sunflower,Drew,MS,38737,South,25.553663,Visa
canceled,2,156,156,0,156,'Men s Fashion',2020,20-Nov,Ms.,F,71,'Raminez, Elizbeth',Graham,Bradford,Graham,FL,32042,South,20,Paypal
canceled,2,315.5,315.5,49.28917,266.21083,Appliances,2020,20-Dec,Prof.,M,28,'Eaker, Lee','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,10,Visa
canceled,1,4999.9,0,0,0,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Visa
canceled,2,65,65,0,65,'Health And Sports',2021,21-Apr,Ms.,F,38,'Mayo, Lauran',Drew,Sunflower,Drew,MS,38737,South,0,Visa
complete,1,459.9,0,0,0,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Paypal
canceled,2,16,16,0,16,'Beauty And Grooming',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Drew,Sunflower,Drew,MS,38737,South,0,Visa
canceled,1,5894.7,0,0,0,Appliances,2020,20-Dec,Hon.,F,53,'Kenney, Pamella',Huntington,Cabell,Huntington,WV,25714,South,0,Visa
canceled,2,135,135,0,135,Computing,2020,20-Oct,Prof.,M,28,'Eaker, Lee',Vinson,Harmon,Vinson,OK,73571,South,0,Paypal
canceled,4,35,105,0,105,'Men s Fashion',2020,20-Oct,Ms.,F,71,'Raminez, Elizbeth',Graham,Bradford,Graham,FL,32042,South,15.622558,Paypal
canceled,2,125,125,12.5,112.5,'Women s Fashion',2020,20-Dec,Mr.,M,64,'Blount, Lenny','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
canceled,3,587,1174,300,874,Entertainment,2021,21-Mar,Mr.,M,64,'Blount, Lenny','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Visa
canceled,2,79.9,79.9,11.985,67.915,'Men s Fashion',2021,21-Jul,Ms.,F,54,'Roach, Skye',Drew,Sunflower,Drew,MS,38737,South,5,Visa
order_refunded,3,65,130,0,130,'Home And Living',2020,20-Oct,Mr.,M,47,'Flanigan, Yong',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
received,2,10,10,0,10,'Beauty And Grooming',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Newton,Newton,Newton,MS,39345,South,0,Paypal
order_refunded,2,3842,3842,0,3842,Entertainment,2020,20-Dec,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,3.55553,Visa
received,2,29.9,29.9,0,29.9,'Men s Fashion',2020,20-Oct,Mr.,M,52,'Nicastro, Emile',Inman,Spartanburg,Inman,SC,29349,South,0,Visa
order_refunded,2,904.2,904.2,0,904.2,Computing,2021,21-Apr,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Visa
order_refunded,2,3989.9,3989.9,0,3989.9,'Mobiles And Tablets',2021,21-Jun,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Visa
canceled,2,115.5,115.5,0,115.5,'Women s Fashion',2020,20-Oct,Mr.,M,75,'Criss, Harrison',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
canceled,2,1149.5,1149.5,0,1149.5,'Women s Fashion',2021,21-Sep,Ms.,F,54,'Roach, Skye',Ducor,Tulare,Ducor,CA,93218,West,15,Visa
complete,2,78,78,0,78,'Men s Fashion',2020,20-Dec,Mr.,M,47,'Flanigan, Yong','Saint Louis','St. Louis (city)','Saint Louis',MO,63110,Midwest,4.255319,Paypal
received,2,43.8,43.8,7.082,36.718,Soghaat,2020,20-Oct,Dr.,M,38,'Hopps, Romeo',Odin,Watonwan,Odin,MN,56160,Midwest,0,Paypal
complete,3,138,276,27.6,248.4,'Women s Fashion',2021,21-Apr,Mr.,M,64,'Blount, Lenny',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
canceled,3,1279.9,2559.8,0,2559.8,'Mobiles And Tablets',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
canceled,2,254.8,254.8,39.80628,214.99372,Appliances,2020,20-Dec,Prof.,M,28,'Eaker, Lee','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Visa
canceled,2,15,15,0,15,'Men s Fashion',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Visa
complete,2,278.5,278.5,0,278.5,'Women s Fashion',2020,20-Oct,Mr.,M,60,'Crawley, Antione',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Paypal
canceled,3,10,20,0,20,'Beauty And Grooming',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Visa
complete,2,135,135,13.5,121.5,'Women s Fashion',2020,20-Dec,Hon.,F,53,'Kenney, Pamella',Benton,Benton,Benton,AR,72019,South,0,Visa
canceled,1,2099.9,0,0,0,'Mobiles And Tablets',2021,21-Sep,Ms.,F,54,'Roach, Skye',Drew,Sunflower,Drew,MS,38737,South,5,Visa
canceled,2,445,445,0,445,Appliances,2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
complete,2,1050,1050,128.5,921.5,Appliances,2020,20-Dec,Mr.,M,52,'Nicastro, Emile',Huntington,Cabell,Huntington,WV,25714,South,0,Visa
received,2,199.9,199.9,0,199.9,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,16.14,Paypal
canceled,2,244.5,244.5,0,244.5,'Mobiles And Tablets',2020,20-Oct,Ms.,F,44,'Gendron, Daniell',Brasstown,Clay,Brasstown,NC,28902,South,15.40108,Visa
canceled,1,5189.5,0,0,0,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','Saint Louis','St. Louis (city)','Saint Louis',MO,63110,Midwest,5.493478,Paypal
order_refunded,2,36,36,0,36,'Health And Sports',2020,20-Oct,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
canceled,2,1400,1400,240.854,1159.146,'Mobiles And Tablets',2020,20-Dec,Hon.,F,53,'Kenney, Pamella','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
received,2,199.9,199.9,0,199.9,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,16.140704,Paypal
received,2,21,21,0,21,'Beauty And Grooming',2021,21-Feb,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
complete,9,25,200,0,200,'Men s Fashion',2021,21-Apr,Ms.,F,38,'Mayo, Lauran',Drew,Sunflower,Drew,MS,38737,South,10,Visa
canceled,2,299.9,299.9,0,299.9,'Men s Fashion',2021,21-Jun,Ms.,F,71,'Raminez, Elizbeth',Sarasota,Sarasota,Sarasota,FL,34277,South,0,Paypal
canceled,3,325,650,0,650,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth',Laupahoehoe,Hawaii,Laupahoehoe,HI,96764,West,0,Paypal
order_refunded,2,232.5,232.5,0,232.5,'Mobiles And Tablets',2021,21-Aug,Ms.,F,54,'Roach, Skye',Ducor,Tulare,Ducor,CA,93218,West,10,Visa
refund,2,49.9,49.9,4.99,44.91,'Men s Fashion',2020,20-Dec,Ms.,F,54,'Roach, Skye',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
complete,4,198.9,596.7,0,596.7,Appliances,2020,20-Oct,Ms.,F,56,'Wetherby, Dorene',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Paypal
received,2,29.9,29.9,0,29.9,'Beauty And Grooming',2020,20-Oct,Mr.,M,52,'Nicastro, Emile',Voltaire,McHenry,Voltaire,ND,58792,Midwest,0,Visa
order_refunded,2,59.9,59.9,0,59.9,'Men s Fashion',2021,21-Jun,Dr.,M,38,'Hopps, Romeo',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Paypal
canceled,3,98.8,197.6,0,197.6,'Beauty And Grooming',2020,20-Dec,Mr.,M,52,'Nicastro, Emile',Huntington,Cabell,Huntington,WV,25714,South,0,Visa
complete,3,19.9,39.8,0,39.8,'Men s Fashion',2021,21-Feb,Mr.,M,52,'Nicastro, Emile',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
canceled,2,549.9,549.9,0,549.9,Appliances,2020,20-Oct,Prof.,M,28,'Eaker, Lee',Vinson,Harmon,Vinson,OK,73571,South,0,Paypal
complete,2,115.5,115.5,0,115.5,'Women s Fashion',2020,20-Oct,Mr.,M,75,'Criss, Harrison',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
canceled,2,79.5,79.5,0,79.5,Appliances,2021,21-Jun,Ms.,F,54,'Roach, Skye',Ducor,Tulare,Ducor,CA,93218,West,0,Visa
canceled,2,1399,1399,0,1399,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
